2015-06-30-10 04 52.305	0.3796997 1.6042633 10.255981
2015-06-30-10 04 52.312	0.3392334 1.5792694 10.409515
2015-06-30-10 04 52.318	0.36779785 1.531662 10.703491
2015-06-30-10 04 52.322	0.21783447 1.4769135 10.9938965
2015-06-30-10 04 52.327	0.09048462 1.2710114 11.533051
2015-06-30-10 04 52.332	0.26782227 1.1698456 11.843689
2015-06-30-10 04 52.337	0.36184692 0.9639435 12.134094
2015-06-30-10 04 52.342	0.41183472 0.6925812 12.672058
2015-06-30-10 04 52.347	0.42016602 0.35813904 13.254059
2015-06-30-10 04 52.352	0.41064453 0.09391785 13.6753845
2015-06-30-10 04 52.357	0.4963379 -0.24052429 13.931274
2015-06-30-10 04 52.362	0.4296875 -0.45951843 14.321655
2015-06-30-10 04 52.369	0.3975525 -0.6785126 14.326416
2015-06-30-10 04 52.372	0.31661987 -0.95939636 14.389496
2015-06-30-10 04 52.377	0.0345459 -1.0450897 14.28595
2015-06-30-10 04 52.382	-0.2451477 -1.0391388 13.789642
2015-06-30-10 04 52.387	-0.5664978 -1.0331879 13.179077
2015-06-30-10 04 52.392	-0.79977417 -0.9415436 12.570892
2015-06-30-10 04 52.398	-0.9890137 -0.7570648 11.892487
2015-06-30-10 04 52.404	-1.144928 -0.55592346 11.317627
2015-06-30-10 04 52.407	-1.1925354 -0.31550598 10.657074
2015-06-30-10 04 52.412	-1.2627563 -0.11555481 10.089355
2015-06-30-10 04 52.418	-1.3341675 0.015365601 9.434753
2015-06-30-10 04 52.422	-1.324646 0.1224823 8.752777
2015-06-30-10 04 52.427	-1.4127197 0.1308136 8.145782
2015-06-30-10 04 52.432	-1.5138855 0.10700989 7.700653
2015-06-30-10 04 52.438	-1.5400696 0.018936157 7.5685425
2015-06-30-10 04 52.443	-1.4686584 -0.03819275 7.507843
2015-06-30-10 04 52.448	-1.3532104 -0.03819275 7.5935364
2015-06-30-10 04 52.455	-1.324646 -0.058425903 7.80777
2015-06-30-10 04 52.458	-1.3591614 -0.08818054 8.230286
2015-06-30-10 04 52.463	-1.2913208 -0.1334076 8.470703
2015-06-30-10 04 52.469	-1.1604004 -0.23457336 8.725403
2015-06-30-10 04 52.473	-1.1116028 -0.4035797 8.831329
2015-06-30-10 04 52.478	-1.1116028 -0.50593567 8.889648
2015-06-30-10 04 52.483	-1.2520447 -0.6499481 8.795624
2015-06-30-10 04 52.488	-1.920929 -0.9153595 8.410004
2015-06-30-10 04 52.493	-3.236084 -1.3581085 7.3519287
2015-06-30-10 04 52.499	-2.844513 -1.4033356 7.578064
2015-06-30-10 04 52.503	-2.4826965 -1.2700348 8.277893
2015-06-30-10 04 52.508	-1.8388062 -0.924881 8.417145
2015-06-30-10 04 52.513	-1.3258362 -0.5630646 8.533783
2015-06-30-10 04 52.519	-0.7878723 -0.2738495 8.496887
2015-06-30-10 04 52.523	-0.23086548 0.043930054 8.44928
2015-06-30-10 04 52.528	0.17617798 0.22364807 8.364777
2015-06-30-10 04 52.535	0.4701538 0.44145203 8.108887
2015-06-30-10 04 52.539	0.58322144 0.543808 7.9220276
2015-06-30-10 04 52.543	0.5713196 0.48786926 7.7351685
2015-06-30-10 04 52.548	0.6950989 0.45454407 7.7304077
2015-06-30-10 04 52.555	0.8272095 0.4259796 7.8256226
2015-06-30-10 04 52.559	0.74508667 0.38789368 7.7863464
2015-06-30-10 04 52.563	0.42730713 0.26649475 7.8518066
2015-06-30-10 04 52.569	0.12619019 0.07725525 7.8756104
2015-06-30-10 04 52.574	-0.0975647 0.009414673 7.9732056
2015-06-30-10 04 52.579	-0.25109863 -0.033432007 8.13031
2015-06-30-10 04 52.586	-0.30465698 -0.1084137 8.229095
2015-06-30-10 04 52.589	-0.40820313 -0.114364624 8.498077
2015-06-30-10 04 52.594	-0.38916016 -0.15959167 8.665894
2015-06-30-10 04 52.600	-0.37249756 -0.18696594 8.751587
2015-06-30-10 04 52.604	-0.37487793 -0.21791077 8.687317
2015-06-30-10 04 52.609	-0.3034668 -0.16197205 8.58139
2015-06-30-10 04 52.614	-0.22253418 -0.1655426 8.498077
2015-06-30-10 04 52.619	-0.052337646 -0.071517944 8.45047
2015-06-30-10 04 52.624	0.15594482 -0.05961609 8.356445
2015-06-30-10 04 52.629	0.22735596 0.011795044 8.219574
2015-06-30-10 04 52.634	0.12976074 0.0129852295 8.2421875
2015-06-30-10 04 52.639	0.21783447 0.17604065 8.173157
2015-06-30-10 04 52.644	0.2487793 0.29029846 8.007721
2015-06-30-10 04 52.649	0.2904358 0.53904724 8.022003
2015-06-30-10 04 52.654	0.24996948 0.64497375 8.118408
2015-06-30-10 04 52.659	0.14047241 0.87586975 8.25885
2015-06-30-10 04 52.664	0.12976074 1.0258331 8.58139
2015-06-30-10 04 52.669	-0.03805542 1.0436859 8.801575
2015-06-30-10 04 52.674	-0.12136841 1.1269989 8.992004
2015-06-30-10 04 52.680	-0.24038696 1.2436371 8.9991455
