2015-06-26-20 08 53.475	-0.23443604 0.82707214 8.780151
2015-06-26-20 08 53.480	-0.12731934 0.871109 8.970581
2015-06-26-20 08 53.486	-0.0725708 0.90800476 9.100311
2015-06-26-20 08 53.497	0.0059814453 1.0258331 9.145538
2015-06-26-20 08 53.498	0.08453369 1.0103607 9.214569
2015-06-26-20 08 53.500	0.0024108887 0.8615875 9.22052
2015-06-26-20 08 53.505	0.046447754 0.8972931 9.378815
2015-06-26-20 08 53.511	0.05596924 0.86872864 9.503784
2015-06-26-20 08 53.516	0.07858276 0.84135437 9.60376
2015-06-26-20 08 53.521	0.10595703 0.8782501 9.714447
2015-06-26-20 08 53.526	0.17617798 0.7806549 9.964386
2015-06-26-20 08 53.531	0.20831299 0.83540344 10.021515
2015-06-26-20 08 53.538	0.30233765 0.83421326 10.107208
2015-06-26-20 08 53.543	0.3463745 0.91038513 10.17981
2015-06-26-20 08 53.546	0.44873047 0.95799255 10.260742
2015-06-26-20 08 53.551	0.5022888 1.0520172 10.348816
2015-06-26-20 08 53.556	0.44039917 1.0782013 10.466644
2015-06-26-20 08 53.561	0.4130249 1.1365204 10.453552
2015-06-26-20 08 53.565	0.3963623 1.1615143 10.573761
2015-06-26-20 08 53.571	0.3808899 1.2602997 10.44165
2015-06-26-20 08 53.576	0.29162598 1.2543488 10.490448
2015-06-26-20 08 53.581	0.25830078 1.3162384 10.50235
2015-06-26-20 08 53.587	0.13690186 1.3376617 10.361908
2015-06-26-20 08 53.591	0.09524536 1.319809 10.234558
2015-06-26-20 08 53.596	-0.001159668 1.3983612 10.156006
2015-06-26-20 08 53.601	0.016693115 1.397171 10.175049
2015-06-26-20 08 53.606	0.011932373 1.4828644 10.1536255
2015-06-26-20 08 53.611	-0.07495117 1.4721527 10.084595
2015-06-26-20 08 53.616	-0.21777344 1.4221649 9.858459
2015-06-26-20 08 53.621	-0.31655884 1.3888397 9.763245
2015-06-26-20 08 53.626	-0.40820313 1.4400177 9.643036
2015-06-26-20 08 53.631	-0.48913574 1.3876495 9.721588
2015-06-26-20 08 53.638	-0.5664978 1.3662262 9.804901
2015-06-26-20 08 53.642	-0.6569519 1.3114777 9.896545
2015-06-26-20 08 53.646	-0.6819458 1.2198334 10.077454
2015-06-26-20 08 53.651	-0.71884155 1.0460663 10.305969
2015-06-26-20 08 53.657	-0.7462158 0.9770355 10.444031
2015-06-26-20 08 53.661	-0.6878967 0.8330231 10.75705
2015-06-26-20 08 53.666	-0.6986084 0.74494934 10.88559
2015-06-26-20 08 53.672	-0.83547974 0.6747284 11.01651
2015-06-26-20 08 53.677	-0.9021301 0.5926056 11.086731
2015-06-26-20 08 53.681	-0.93426514 0.5580902 11.064117
2015-06-26-20 08 53.687	-0.978302 0.4854889 10.957001
2015-06-26-20 08 53.692	-0.9949646 0.43074036 10.6796875
2015-06-26-20 08 53.697	-0.9961548 0.37480164 10.540436
2015-06-26-20 08 53.702	-0.93426514 0.345047 10.50473
2015-06-26-20 08 53.708	-0.85214233 0.34742737 10.536865
2015-06-26-20 08 53.712	-0.66885376 0.31648254 10.553528
2015-06-26-20 08 53.717	-0.3272705 0.17008972 10.75705
2015-06-26-20 08 53.723	-0.08685303 0.07963562 11.073639
2015-06-26-20 08 53.727	0.24758911 -0.11079407 11.52829
2015-06-26-20 08 53.732	0.36898804 -0.46784973 12.162659
2015-06-26-20 08 53.739	0.42611694 -0.8011017 12.891052
2015-06-26-20 08 53.742	0.39517212 -1.2129059 13.632538
2015-06-26-20 08 53.747	0.41540527 -1.6782684 14.388306
2015-06-26-20 08 53.752	0.28567505 -2.1686249 14.99292
2015-06-26-20 08 53.758	0.15713501 -2.541153 15.502319
2015-06-26-20 08 53.762	0.0047912598 -2.939865 15.941498
2015-06-26-20 08 53.767	-0.25228882 -3.2290802 16.012909
2015-06-26-20 08 53.773	-0.56411743 -3.4373627 15.9534
2015-06-26-20 08 53.778	-0.82476807 -3.587326 15.746307
2015-06-26-20 08 53.782	-1.0021057 -3.6361237 15.433289
2015-06-26-20 08 53.787	-1.1746826 -3.5718536 14.851288
2015-06-26-20 08 53.794	-1.2449036 -3.002945 13.026733
2015-06-26-20 08 53.798	-1.2449036 -3.002945 13.026733
2015-06-26-20 08 53.803	-1.2817993 -2.593521 12.075775
2015-06-26-20 08 53.807	-1.2294312 -2.0615082 11.105774
2015-06-26-20 08 53.812	-1.1865845 -1.5937653 10.211945
2015-06-26-20 08 53.818	-1.1663513 -1.1486359 9.47998
2015-06-26-20 08 53.822	-1.1223145 -0.7891998 8.831329
2015-06-26-20 08 53.828	-1.0568542 -0.45237732 8.311218
2015-06-26-20 08 53.833	-1.0259094 -0.25123596 8.029144
2015-06-26-20 08 53.839	-0.94259644 -0.14173889 7.6697083
2015-06-26-20 08 53.843	-0.94259644 -0.14173889 7.5804443
